frame,time,mesh_count,collider_count,collider_build_time,mesh_build_time,query_time,self_query_time,query_contacts,self_query_contacts,query_matches_ground_truth,self_query_matches_ground_truth
0,0.00,149845,83632,14.659,2.393,2.477,0.465,1310110,950663,true,true
50,1.00,149845,83632,1.273,1.718,0.830,1.448,1357151,1255587,true,true
100,2.00,149845,83632,3.805,8.755,17.106,7.565,1504639,1280361,true,true
150,3.00,149845,83632,3.470,7.621,7.886,7.137,1278947,1079768,true,true
200,4.00,149845,83632,3.990,6.760,9.110,4.391,1646286,1526974,true,true
250,5.00,149845,83632,5.176,8.125,8.524,4.294,1391113,1253842,true,true
300,6.00,149845,83632,4.571,6.724,9.190,3.602,1697067,1714191,true,true
350,7.00,149845,83632,4.757,7.420,9.545,7.759,1638085,1468223,true,true
400,8.00,149845,83632,4.790,7.149,9.333,10.291,1649367,1483338,true,true
450,9.00,149845,83632,5.066,6.276,24.514,33.383,1469008,1343629,true,true
500,10.00,149845,83632,5.099,7.354,6.984,6.102,1525855,1448643,true,true
550,11.00,149845,83632,3.911,6.979,9.108,3.675,1347021,1253446,true,true
600,12.00,149845,83632,3.665,6.873,7.550,2.982,1376245,1274920,true,true
650,13.00,149845,83632,5.067,9.382,8.234,214.762,1473205,1343539,true,true
700,14.00,149845,83632,1.875,2.375,1.990,2.621,1429084,1327236,true,true
750,15.00,149845,83632,3.562,7.925,7.140,4.908,1357511,1199778,true,true
800,16.00,149845,83632,3.914,7.831,7.677,2.745,1453338,1311563,true,true
850,17.00,149845,83632,3.690,6.414,7.910,7.283,1436743,1317092,true,true
900,18.00,149845,83632,5.054,9.209,7.624,1.717,1267259,1141402,true,true
950,19.00,149845,83632,4.703,17.334,16.108,4.431,1246275,1071269,true,true
1000,20.00,149845,83632,6.926,7.513,6.843,8.307,1259885,1095953,true,true
1050,21.00,149845,83632,6.659,7.617,6.970,7.822,1185329,1066952,true,true
1100,22.00,149845,83632,3.686,6.901,8.007,8.872,1137098,1049729,true,true
1150,23.00,149845,83632,3.645,8.064,6.707,4.327,1091013,1044625,true,true
1200,24.00,149845,83632,4.742,7.391,7.721,6.405,1086486,1042421,true,true
1250,25.00,149845,83632,3.937,8.378,6.753,3.044,1082631,1040395,true,true
1300,26.00,149845,83632,3.672,8.925,8.836,2.971,1084252,1040199,true,true
1350,27.00,149845,83632,4.819,7.629,7.251,2.858,1085101,1035732,true,true
1400,28.00,149845,83632,6.900,7.053,7.254,2.445,1120367,1042381,true,true
1450,29.00,149845,83632,4.674,7.766,8.170,2.983,1144115,1062728,true,true
1500,30.00,149845,83632,3.516,7.531,6.430,2.867,1185726,1093981,true,true
1550,31.00,149845,83632,3.681,6.619,8.105,7.333,1279009,1217673,true,true
1600,32.00,149845,83632,3.653,10.735,9.547,7.182,1292933,1290083,true,true
1650,33.00,149845,83632,5.106,6.789,10.239,8.167,1323813,1287683,true,true
1700,34.00,149845,83632,3.587,8.241,10.081,3.622,1499458,1485344,true,true
1750,35.00,149845,83632,6.785,8.626,9.991,8.206,1616879,1560524,true,true
1800,36.00,149845,83632,3.697,6.862,5.922,5.376,1421126,1310872,true,true
1850,37.00,149845,83632,3.644,8.071,7.928,4.080,1472635,1416200,true,true
1900,38.00,149845,83632,5.411,6.417,6.921,5.817,1371374,1300641,true,true
1950,39.00,149845,83632,7.474,11.744,16.949,3.743,1576880,1604026,true,true
2000,40.00,149845,83632,3.679,6.662,5.600,4.905,1361644,1280022,true,true
2050,41.00,149845,83632,3.989,7.556,7.752,3.473,1486776,1410039,true,true
2100,42.00,149845,83632,5.670,10.026,8.900,3.257,1342919,1242118,true,true
2150,43.00,149845,83632,3.769,6.268,6.926,7.712,1435159,1359286,true,true
2200,44.00,149845,83632,3.741,7.132,8.048,2.847,1328283,1179815,true,true
2250,45.00,149845,83632,5.091,7.196,9.807,3.372,1488361,1331860,true,true
2300,46.00,149845,83632,3.708,8.764,7.820,9.712,1395833,1202586,true,true
2350,47.00,149845,83632,7.250,9.733,9.880,2.188,1050103,991253,true,true
2400,48.00,149845,83632,3.837,8.396,8.782,2.616,1059634,991387,true,true
2450,49.00,149845,83632,3.683,7.625,9.654,5.948,1059866,990593,true,true
2500,50.00,149845,83632,4.021,9.563,8.015,3.311,1058159,993848,true,true
