frame,time,mesh_count,collider_count,collider_build_time,mesh_build_time,query_time,self_query_time,query_contacts,self_query_contacts,query_matches_ground_truth,self_query_matches_ground_truth
0,0.00,149845,83632,4.319,2.522,1.058,0.192,1310110,1901326,true,true
50,1.00,149845,83632,0.835,1.480,0.660,0.180,1357151,2511174,true,true
100,2.00,149845,83632,1.916,2.751,0.765,0.182,1504639,2560722,true,true
150,3.00,149845,83632,1.812,1.821,0.683,0.187,1278947,2159536,true,true
200,4.00,149845,83632,1.097,1.705,0.695,0.246,1646286,3053948,true,true
250,5.00,149845,83632,0.874,1.206,0.817,0.205,1391113,2507684,true,true
300,6.00,149845,83632,1.419,2.975,0.717,0.208,1697067,3428382,true,true
350,7.00,149845,83632,0.889,1.261,0.752,0.219,1638085,2936446,true,true
400,8.00,149845,83632,0.871,1.230,0.988,0.217,1649367,2966676,true,true
450,9.00,149845,83632,0.857,1.302,0.753,0.194,1469008,2687258,true,true
500,10.00,149845,83632,0.847,1.217,0.648,0.205,1525855,2897286,true,true
550,11.00,149845,83632,0.946,1.172,0.820,0.189,1347021,2506892,true,true
600,12.00,149845,83632,0.841,1.162,0.771,0.198,1376245,2549840,true,true
650,13.00,149845,83632,0.864,2.743,0.691,0.248,1473205,2687078,true,true
700,14.00,149845,83632,0.844,1.254,0.640,0.239,1429084,2654472,true,true
750,15.00,149845,83632,0.851,1.285,0.651,0.210,1357511,2399556,true,true
800,16.00,149845,83632,0.855,1.430,0.673,0.225,1453338,2623126,true,true
850,17.00,149845,83632,0.873,1.221,0.595,0.193,1436743,2634184,true,true
900,18.00,149845,83632,1.255,1.331,0.760,0.168,1267259,2282804,true,true
950,19.00,149845,83632,0.865,1.279,0.655,0.163,1246275,2142538,true,true
1000,20.00,149845,83632,0.844,1.264,0.550,0.212,1259885,2191906,true,true
1050,21.00,149845,83632,1.663,1.363,0.909,0.186,1185329,2133904,true,true
1100,22.00,149845,83632,1.937,1.860,0.827,0.196,1137098,2099458,true,true
1150,23.00,149845,83632,0.885,1.624,0.639,0.196,1091013,2089250,true,true
1200,24.00,149845,83632,0.835,1.973,0.604,0.189,1086486,2084842,true,true
1250,25.00,149845,83632,1.349,1.206,1.047,0.215,1082631,2080790,true,true
1300,26.00,149845,83632,0.858,1.473,0.589,0.175,1084252,2080398,true,true
1350,27.00,149845,83632,2.064,1.582,1.151,0.166,1085101,2071464,true,true
1400,28.00,149845,83632,0.865,1.319,0.795,0.156,1120367,2084762,true,true
1450,29.00,149845,83632,1.973,1.772,0.936,0.165,1144115,2125456,true,true
1500,30.00,149845,83632,0.858,1.500,0.712,0.162,1185726,2187962,true,true
1550,31.00,149845,83632,0.858,1.246,0.891,0.183,1279009,2435346,true,true
1600,32.00,149845,83632,1.184,1.582,0.741,0.223,1292933,2580166,true,true
1650,33.00,149845,83632,1.695,1.766,1.078,0.248,1323813,2575366,true,true
1700,34.00,149845,83632,2.184,2.638,0.828,0.237,1499458,2970688,true,true
1750,35.00,149845,83632,0.872,1.596,0.837,0.359,1616879,3121048,true,true
1800,36.00,149845,83632,1.200,1.184,0.666,0.292,1421126,2621744,true,true
1850,37.00,149845,83632,0.882,1.249,0.667,0.238,1472635,2832400,true,true
1900,38.00,149845,83632,1.312,1.579,0.668,0.236,1371374,2601282,true,true
1950,39.00,149845,83632,1.077,1.490,0.671,0.247,1576880,3208052,true,true
2000,40.00,149845,83632,1.199,1.218,0.561,0.214,1361644,2560044,true,true
2050,41.00,149845,83632,0.853,1.254,0.683,0.235,1486776,2820078,true,true
2100,42.00,149845,83632,1.687,1.699,0.571,0.222,1342919,2484236,true,true
2150,43.00,149845,83632,0.842,1.676,0.865,0.230,1435159,2718572,true,true
2200,44.00,149845,83632,1.084,1.167,0.665,0.223,1328283,2359630,true,true
2250,45.00,149845,83632,3.455,3.856,0.723,0.222,1488361,2663720,true,true
2300,46.00,149845,83632,0.847,1.548,1.183,0.182,1395833,2405172,true,true
2350,47.00,149845,83632,0.844,1.599,0.656,0.154,1050103,1982506,true,true
2400,48.00,149845,83632,0.910,1.664,0.692,0.146,1059634,1982774,true,true
2450,49.00,149845,83632,0.848,1.204,0.648,0.157,1059866,1981186,true,true
2500,50.00,149845,83632,0.838,1.361,0.612,0.152,1058159,1987696,true,true
