frame,time,mesh_count,collider_count,collider_build_time,mesh_build_time,query_time,self_query_time,query_contacts,self_query_contacts,query_matches_ground_truth,self_query_matches_ground_truth
0,0.00,185312,20908,2.482,8.852,4.107,2.978,125492,1168660,true,true
50,1.00,185312,20908,2.412,11.492,5.507,8.476,125960,1187561,true,true
100,2.00,185312,20908,2.513,10.240,6.782,10.159,131662,1175598,true,true
150,3.00,185312,20908,5.705,8.047,5.318,3.328,130832,1176947,true,true
200,4.00,185312,20908,2.687,6.673,5.662,8.343,133458,1176900,true,true
250,5.00,185312,20908,2.506,7.042,3.683,3.239,135221,1175802,true,true
300,6.00,185312,20908,2.458,8.641,3.285,3.551,138817,1176383,true,true
350,7.00,185312,20908,2.636,9.425,5.513,16.770,140643,1175502,true,true
400,8.00,185312,20908,2.711,7.834,3.757,8.068,140007,1174176,true,true
450,9.00,185312,20908,2.688,12.682,3.117,3.086,138289,1174566,true,true
500,10.00,185312,20908,2.629,8.134,3.285,2.453,137599,1174804,true,true
550,11.00,185312,20908,2.812,9.036,3.247,3.219,141410,1178969,true,true
600,12.00,185312,20908,5.189,10.442,6.784,2.825,145809,1181819,true,true
650,13.00,185312,20908,2.489,11.817,7.498,17.095,149375,1187679,true,true
700,14.00,185312,20908,1.964,7.361,5.052,8.334,161100,1210383,true,true
750,15.00,185312,20908,4.585,7.563,6.697,3.897,165406,1230678,true,true
800,16.00,185312,20908,3.030,14.566,9.252,7.263,165197,1248866,true,true
850,17.00,185312,20908,5.049,9.008,8.100,16.403,167744,1238263,true,true
900,18.00,185312,20908,2.493,8.527,4.187,3.100,154282,1201476,true,true
950,19.00,185312,20908,4.626,11.333,7.487,2.239,145625,1189679,true,true
1000,20.00,185312,20908,5.751,13.439,12.351,2.301,142620,1182513,true,true
1050,21.00,185312,20908,2.059,7.183,5.237,8.725,148981,1192376,true,true
1100,22.00,185312,20908,2.959,8.282,6.922,3.203,160526,1213067,true,true
1150,23.00,185312,20908,2.350,11.921,13.942,3.426,169140,1230265,true,true
1200,24.00,185312,20908,2.345,7.119,6.084,29.558,175568,1286061,true,true
1250,25.00,185312,20908,4.906,14.348,14.570,11.356,184062,1457379,true,true
1300,26.00,185312,20908,2.262,15.208,13.790,9.520,181816,1592312,true,true
1350,27.00,185312,20908,1.948,7.051,6.795,8.399,184963,1428629,true,true
1400,28.00,185312,20908,2.351,13.861,5.511,21.200,191604,1225997,true,true
1450,29.00,185312,20908,2.163,7.222,5.014,8.291,201145,1225147,true,true
1500,30.00,185312,20908,2.515,8.006,5.802,3.305,203560,1268372,true,true
1550,31.00,185312,20908,3.560,9.281,15.387,50.531,213291,1324116,true,true
1600,32.00,185312,20908,2.333,6.699,7.897,8.561,219458,1375649,true,true
1650,33.00,185312,20908,5.432,14.964,14.054,9.517,227809,1405317,true,true
1700,34.00,185312,20908,2.679,6.458,7.584,3.419,219001,1426719,true,true
1750,35.00,185312,20908,4.504,10.946,8.608,2.512,189288,1410955,true,true
1800,36.00,185312,20908,3.114,12.938,3.957,13.412,202922,1359584,true,true
1850,37.00,185312,20908,3.289,23.097,9.699,7.954,205302,1315939,true,true
1900,38.00,185312,20908,2.008,8.106,5.806,10.537,189423,1280231,true,true
1950,39.00,185312,20908,2.462,7.759,5.756,3.169,177367,1262351,true,true
2000,40.00,185312,20908,2.595,6.923,4.661,2.523,177809,1241140,true,true
2050,41.00,185312,20908,3.701,8.759,6.101,3.195,173415,1219563,true,true
2100,42.00,185312,20908,2.338,6.946,5.594,8.342,180582,1217502,true,true
2150,43.00,185312,20908,4.609,10.208,7.424,14.563,180354,1206075,true,true
2200,44.00,185312,20908,2.341,13.736,8.866,2.784,179960,1221016,true,true
2250,45.00,185312,20908,2.212,8.638,6.432,8.499,176719,1219458,true,true
2300,46.00,185312,20908,2.329,10.543,8.257,13.552,178793,1214338,true,true
2350,47.00,185312,20908,3.611,10.778,7.451,16.886,198152,1245730,true,true
2400,48.00,185312,20908,6.191,13.461,15.975,2.145,204167,1273538,true,true
2450,49.00,185312,20908,9.820,14.006,5.527,3.035,201205,1281621,true,true
2500,50.00,185312,20908,3.171,9.704,10.033,3.377,186507,1263911,true,true
2550,51.00,185312,20908,5.050,11.375,8.389,3.321,163635,1255605,true,true
2600,52.00,185312,20908,2.753,8.794,8.305,8.040,144730,1211802,true,true
2650,53.00,185312,20908,2.456,7.272,5.022,3.074,144949,1188508,true,true
2700,54.00,185312,20908,2.340,8.126,6.500,3.199,136678,1178369,true,true
2750,55.00,185312,20908,2.435,14.363,4.006,2.835,129822,1176269,true,true
2800,56.00,185312,20908,4.040,7.661,4.337,7.959,129055,1175658,true,true
2850,57.00,185312,20908,2.422,14.833,10.404,144.225,127783,1179395,true,true
2900,58.00,185312,20908,2.064,14.974,11.873,80.801,129859,1185298,true,true
2950,59.00,185312,20908,0.774,1.601,0.479,0.540,136363,1184437,true,true
3000,60.00,185312,20908,2.151,7.439,3.028,2.930,143150,1179365,true,true
3050,61.00,185312,20908,2.404,9.102,4.546,2.892,148183,1174566,true,true
