frame,time,mesh_count,collider_count,collider_build_time,mesh_build_time,query_time,self_query_time,query_contacts,self_query_contacts,query_matches_ground_truth,self_query_matches_ground_truth
0,0.00,185312,20908,0.879,1.282,0.566,0.171,125492,2337320,true,true
50,1.00,185312,20908,0.592,1.910,0.524,0.169,125960,2375122,true,true
100,2.00,185312,20908,0.608,1.592,0.448,0.168,131662,2351196,true,true
150,3.00,185312,20908,0.651,2.618,0.644,0.169,130832,2353894,true,true
200,4.00,185312,20908,0.582,1.258,0.466,0.177,133458,2353800,true,true
250,5.00,185312,20908,0.780,1.560,0.446,0.175,135221,2351604,true,true
300,6.00,185312,20908,0.593,1.923,0.429,0.168,138817,2352766,true,true
350,7.00,185312,20908,0.583,1.259,0.428,0.171,140643,2351004,true,true
400,8.00,185312,20908,0.599,1.286,0.433,0.171,140007,2348352,true,true
450,9.00,185312,20908,0.604,2.396,0.434,0.179,138289,2349132,true,true
500,10.00,185312,20908,0.835,1.534,0.555,0.168,137599,2349608,true,true
550,11.00,185312,20908,0.906,1.340,0.595,0.175,141410,2357938,true,true
600,12.00,185312,20908,0.582,1.576,0.453,0.174,145809,2363638,true,true
650,13.00,185312,20908,1.924,2.517,0.595,0.174,149375,2375358,true,true
700,14.00,185312,20908,1.017,1.560,0.493,0.195,161100,2420766,true,true
750,15.00,185312,20908,1.791,1.280,0.541,0.202,165406,2461356,true,true
800,16.00,185312,20908,0.598,1.566,0.547,0.210,165197,2497732,true,true
850,17.00,185312,20908,1.314,1.562,0.564,0.185,167744,2476526,true,true
900,18.00,185312,20908,1.094,1.339,0.498,0.177,154282,2402952,true,true
950,19.00,185312,20908,1.048,1.450,0.465,0.175,145625,2379358,true,true
1000,20.00,185312,20908,1.352,1.413,0.888,0.177,142620,2365026,true,true
1050,21.00,185312,20908,0.641,2.945,0.671,0.182,148981,2384752,true,true
1100,22.00,185312,20908,0.773,2.148,0.551,0.189,160526,2426134,true,true
1150,23.00,185312,20908,0.876,2.114,0.561,0.178,169140,2460530,true,true
1200,24.00,185312,20908,1.571,2.193,0.564,0.221,175568,2572122,true,true
1250,25.00,185312,20908,0.592,2.239,0.674,0.242,184062,2914758,true,true
1300,26.00,185312,20908,0.607,1.288,0.589,0.243,181816,3184624,true,true
1350,27.00,185312,20908,1.792,1.375,0.558,0.193,184963,2857258,true,true
1400,28.00,185312,20908,0.595,1.403,0.449,0.166,191604,2451994,true,true
1450,29.00,185312,20908,0.755,1.365,0.569,0.186,201145,2450294,true,true
1500,30.00,185312,20908,0.587,1.694,0.607,0.193,203560,2536744,true,true
1550,31.00,185312,20908,1.186,1.368,0.748,0.313,213291,2648232,true,true
1600,32.00,185312,20908,2.260,1.522,0.905,0.205,219458,2751298,true,true
1650,33.00,185312,20908,0.589,1.259,0.718,0.212,227809,2810634,true,true
1700,34.00,185312,20908,0.595,1.937,0.642,0.197,219001,2853438,true,true
1750,35.00,185312,20908,0.583,1.290,0.588,0.199,189288,2821910,true,true
1800,36.00,185312,20908,4.676,1.439,0.466,0.199,202922,2719168,true,true
1850,37.00,185312,20908,0.594,4.634,1.653,0.161,205302,2631878,true,true
1900,38.00,185312,20908,1.077,1.318,0.681,0.156,189423,2560462,true,true
1950,39.00,185312,20908,0.586,1.326,0.500,0.185,177367,2524702,true,true
2000,40.00,185312,20908,0.609,1.306,0.504,0.179,177809,2482280,true,true
2050,41.00,185312,20908,0.598,2.567,0.501,0.192,173415,2439126,true,true
2100,42.00,185312,20908,0.612,2.463,0.783,0.177,180582,2435004,true,true
2150,43.00,185312,20908,0.599,2.509,0.737,0.176,180354,2412150,true,true
2200,44.00,185312,20908,0.677,1.367,0.630,0.184,179960,2442032,true,true
2250,45.00,185312,20908,0.834,2.686,0.640,0.186,176719,2438916,true,true
2300,46.00,185312,20908,0.601,1.802,0.487,0.178,178793,2428676,true,true
2350,47.00,185312,20908,1.817,1.427,0.540,0.191,198152,2491460,true,true
2400,48.00,185312,20908,1.999,1.291,0.538,0.199,204167,2547076,true,true
2450,49.00,185312,20908,0.622,2.994,0.755,0.210,201205,2563242,true,true
2500,50.00,185312,20908,0.650,1.641,0.536,0.204,186507,2527822,true,true
2550,51.00,185312,20908,1.000,1.314,0.484,0.196,163635,2511210,true,true
2600,52.00,185312,20908,1.618,3.487,0.525,0.176,144730,2423604,true,true
2650,53.00,185312,20908,1.576,1.372,0.521,0.168,144949,2377016,true,true
2700,54.00,185312,20908,2.121,1.855,0.525,0.175,136678,2356738,true,true
2750,55.00,185312,20908,1.189,1.293,0.612,0.176,129822,2352538,true,true
2800,56.00,185312,20908,0.793,1.593,0.611,0.173,129055,2351316,true,true
2850,57.00,185312,20908,1.621,2.364,0.437,0.170,127783,2358790,true,true
2900,58.00,185312,20908,0.712,1.291,0.453,0.180,129859,2370596,true,true
2950,59.00,185312,20908,1.149,2.122,0.457,0.187,136363,2368874,true,true
3000,60.00,185312,20908,0.609,1.755,0.487,0.155,143150,2358730,true,true
3050,61.00,185312,20908,0.841,1.281,0.472,0.178,148183,2349132,true,true
